id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1b82f8df,Lukas Lerager,dk DEN,MF,dk FC Copenhagen,29-301,1993,5.0,127,164,77.4,1999,528,72,87,82.8,36,47,76.6,11,15,73.3,0,0.2,0.1,-0.2,4,12,2,0,14,Matches
8d78e732,Robert Lewandowski,pl POL,FW,es Barcelona,34-261,1988,4.9,86,131,65.6,1084,265,57,75,76.0,22,30,73.3,2,6,33.3,0,0.7,1.8,-0.7,7,6,7,2,18,Matches
b57e066e,Rico Lewis,eng ENG,DF,eng Manchester City,18-169,2004,1.3,88,97,90.7,1360,123,49,52,94.2,36,38,94.7,2,6,33.3,0,0.1,0.1,-0.1,1,7,0,0,1,Matches
d6e53a3a,Matthijs de Ligt,nl NED,DF,de Bayern Munich,23-270,1999,6.8,440,474,92.8,8734,2860,117,124,94.4,275,282,97.5,47,63,74.6,0,0.0,0.1,0.0,0,40,3,0,28,Matches
37dc1a48,Jesper Lindstrøm,dk DEN,"MF,FW",de Eint Frankfurt,23-069,2000,5.6,87,133,65.4,1175,301,51,73,69.9,26,33,78.8,3,12,25.0,0,1.0,0.9,-1.0,8,4,5,0,10,Matches
58f077c0,Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,28-120,1995,6.0,172,253,68.0,4861,3636,32,32,100.0,80,81,98.8,59,139,42.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
99a8ddc9,Robert Ljubicic,at AUT,"FW,DF",hr Dinamo Zagreb,23-299,1999,6.0,272,363,74.9,4244,1882,149,171,87.1,93,124,75.0,19,33,57.6,0,0.1,0.2,-0.1,2,25,5,1,32,Matches
02c15616,Marcos Llorente,es ESP,"MF,FW",es Atlético Madrid,28-099,1995,2.4,98,117,83.8,1227,278,65,67,97.0,23,26,88.5,3,8,37.5,0,0.1,0.1,-0.1,2,6,2,0,9,Matches
8f62b6ee,Hugo Lloris,fr FRA,GK,eng Tottenham,36-134,1986,6.0,150,176,85.2,3508,2335,43,43,100.0,72,73,98.6,34,59,57.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
e9fda01d,Danny Loader,eng ENG,"FW,MF",pt Porto,22-254,2000,0.6,19,25,76.0,225,41,12,13,92.3,4,7,57.1,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
e1cbb531,Stanislav Lobotka,sk SVK,MF,it Napoli,28-165,1994,9.7,582,632,92.1,8792,2335,318,333,95.5,216,236,91.5,29,35,82.9,0,0.3,0.2,-0.3,6,42,2,1,44,Matches
a8a874f1,Manuel Locatelli,it ITA,MF,it Juventus,25-121,1998,2.5,170,196,86.7,3232,1139,68,75,90.7,67,72,93.1,28,39,71.8,0,0.3,0.2,-0.3,1,21,4,0,28,Matches
e97fd090,Ruben Loftus-Cheek,eng ENG,MF,eng Chelsea,27-106,1996,3.2,166,189,87.8,2527,693,90,99,90.9,67,71,94.4,6,11,54.5,1,0.2,0.2,+0.8,1,17,2,0,21,Matches
20b9f052,Pau López,es ESP,GK,fr Marseille,28-147,1994,6.0,135,177,76.3,3608,2373,21,21,100.0,64,65,98.5,49,89,55.1,0,0.0,0.0,0.0,0,4,0,0,0,Matches
8e50599a,Alexander lowry,sct SCO,MF,sct Rangers,19-320,2003,0.1,2,3,66.7,27,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
a69e4806,Hirving Lozano,mx MEX,FW,it Napoli,27-283,1995,5.2,112,158,70.9,1508,374,72,84,85.7,28,45,62.2,5,12,41.7,1,1.7,1.1,-0.7,8,8,3,1,12,Matches
881cd6be,Florentino Luís,pt POR,MF,pt Benfica,23-263,1999,9.5,490,553,88.6,7970,2278,252,274,92.0,176,194,90.7,48,56,85.7,0,0.0,0.2,0.0,1,49,2,0,42,Matches
5eae500a,Romelu Lukaku,be BEL,FW,it Inter,29-361,1993,1.2,21,30,70.0,289,88,13,17,76.5,6,6,100.0,1,3,33.3,0,0.4,0.5,-0.4,3,3,1,0,4,Matches
0df2b165,John Lundstram,eng ENG,"MF,DF",sct Rangers,29-080,1994,5.0,173,217,79.7,2847,774,81,95,85.3,70,79,88.6,12,26,46.2,0,0.1,0.0,-0.1,1,9,1,0,12,Matches
3061e1ec,Andriy Lunin,ua UKR,GK,es Real Madrid,24-087,1999,2.0,41,43,95.3,612,412,24,24,100.0,15,15,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
7be09c86,Mahir Madatov,az AZE,FW,hr Dinamo Zagreb,25-312,1997,0.2,6,7,85.7,65,12,4,5,80.0,2,2,100.0,0,0,,0,0.2,0.0,-0.2,1,0,0,0,0,Matches
395451fc,Daizen Maeda,jp JPN,FW,sct Celtic,25-201,1997,3.7,51,71,71.8,708,136,30,38,78.9,19,22,86.4,0,2,0.0,0,0.7,0.4,-0.7,4,0,3,1,4,Matches
892d5bb1,Riyad Mahrez,dz ALG,"FW,MF",eng Manchester City,32-077,1991,5.5,268,311,86.2,4773,613,121,130,93.1,115,130,88.5,27,35,77.1,2,1.8,1.9,+0.2,19,9,12,3,15,Matches
fcb38f57,Mike Maignan,fr FRA,GK,it Milan,27-310,1995,5.0,158,192,82.3,4398,2734,29,29,100.0,77,78,98.7,52,85,61.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
864163f3,Donyell Malen,nl NED,"FW,MF",de Dortmund,24-110,1999,2.8,41,54,75.9,487,93,31,36,86.1,8,10,80.0,0,4,0.0,0,0.1,0.2,-0.1,2,4,1,0,6,Matches
c20bdcd7,Reinildo Mandava,mz MOZ,DF,es Atlético Madrid,29-108,1994,5.7,339,383,88.5,4996,1401,186,197,94.4,136,150,90.7,9,18,50.0,0,0.1,0.2,-0.1,2,33,2,1,34,Matches
c691bfe2,Sadio Mané,sn SEN,FW,de Bayern Munich,31-029,1992,6.1,161,206,78.2,2502,711,93,108,86.1,59,70,84.3,8,13,61.5,1,0.9,1.1,+0.1,8,20,17,0,38,Matches
7a20d90a,Iván Marcano,es ESP,DF,pt Porto,35-320,1987,3.0,161,182,88.5,3443,1100,41,46,89.1,91,96,94.8,27,35,77.1,0,0.5,0.2,-0.5,2,7,1,0,10,Matches
133faa84,Marcão,br BRA,DF,es Sevilla,26-338,1996,2.5,141,164,86.0,2562,1039,51,53,96.2,83,92,90.2,7,16,43.8,0,0.0,0.0,0.0,0,7,0,0,11,Matches
f0da930c,José María Giménez,uy URU,DF,es Atlético Madrid,28-109,1995,4.5,253,288,87.8,5481,2093,75,81,92.6,122,135,90.4,53,66,80.3,0,0.1,0.1,-0.1,1,14,4,1,16,Matches
5c4dc0ff,Mariano,do DOM,FW,es Real Madrid,29-281,1993,0.1,2,4,50.0,36,16,0,1,0.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
148af9a8,Antonio Marin,hr CRO,FW,hr Dinamo Zagreb,22-120,2001,0.1,3,4,75.0,45,18,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
f0021247,João Mário,pt POR,FW,pt Benfica,30-110,1993,9.6,429,503,85.3,5886,1607,254,277,91.7,129,145,89.0,19,35,54.3,2,2.8,2.6,-0.8,15,37,15,4,56,Matches
82a39b66,João Mário Lopes,pt POR,DF,pt Porto,23-126,2000,3.0,78,104,75.0,1062,309,52,59,88.1,24,31,77.4,1,9,11.1,0,0.1,0.1,-0.1,1,4,1,0,7,Matches
d5f2f82b,Marquinhos,br BRA,DF,fr Paris S-G,28-360,1994,7.3,379,409,92.7,6240,2123,165,173,95.4,175,183,95.6,25,36,69.4,0,0.1,0.1,-0.1,2,17,1,0,17,Matches
b4ecc6b6,José Marsà,es ESP,DF,pt Sporting CP,21-066,2002,1.1,24,27,88.9,481,84,6,6,100.0,15,15,100.0,3,5,60.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
f7036e1c,Lautaro Martínez,ar ARG,FW,it Inter,25-260,1997,8.3,128,184,69.6,2001,504,74,98,75.5,41,53,77.4,11,19,57.9,3,1.4,0.7,+1.6,9,13,6,0,21,Matches
f3945e07,Toni Martínez,es ESP,FW,pt Porto,25-313,1997,1.3,21,40,52.5,208,55,14,25,56.0,3,10,30.0,0,0,,0,0.1,0.0,-0.1,2,0,0,0,1,Matches
55abe554,Clinton Mata,ao ANG,DF,be Club Brugge,30-183,1992,1.8,96,125,76.8,1524,606,55,59,93.2,33,43,76.7,5,15,33.3,0,0.0,0.0,0.0,1,5,1,0,8,Matches
feb5d972,Pape Matar Sarr,sn SEN,MF,eng Tottenham,20-237,2002,1.0,50,60,83.3,923,255,23,26,88.5,18,20,90.0,8,9,88.9,0,0.0,0.2,0.0,1,5,1,0,4,Matches
b217ef29,Joël Matip,cm CMR,DF,eng Liverpool,31-274,1991,2.7,155,175,88.6,2923,1064,51,58,87.9,83,90,92.2,18,23,78.3,0,0.0,0.1,0.0,1,18,0,0,16,Matches
33144cc5,Rabbi Matondo,wls WAL,"MF,FW",sct Rangers,22-242,2000,1.1,9,18,50.0,95,0,9,14,64.3,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1adcf39e,Mykola Matviyenko,ua UKR,DF,ua Shakhtar,27-007,1996,6.0,393,444,88.5,6943,2506,165,172,95.9,196,207,94.7,29,58,50.0,0,0.0,0.0,0.0,0,10,0,0,6,Matches
826e8b63,Philipp Max,de GER,DF,de Eint Frankfurt,29-221,1993,1.3,36,54,66.7,516,206,20,24,83.3,14,20,70.0,0,4,0.0,0,0.1,0.1,-0.1,1,1,2,1,5,Matches
0e6bc38c,Eric Maxim Choupo-Moting,cm CMR,FW,de Bayern Munich,34-047,1989,4.8,75,102,73.5,1002,195,47,59,79.7,24,31,77.4,3,5,60.0,0,0.3,0.5,-0.3,5,3,3,0,11,Matches
b74277a0,Noussair Mazraoui,ma MAR,DF,de Bayern Munich,25-176,1997,4.4,260,312,83.3,3734,1351,159,171,93.0,88,104,84.6,10,17,58.8,0,0.1,0.3,-0.1,1,29,4,0,19,Matches
42fd9c7f,Kylian Mbappé,fr FRA,FW,fr Paris S-G,24-140,1998,7.2,211,280,75.4,2661,539,140,169,82.8,48,67,71.6,9,14,64.3,3,1.1,1.4,+1.9,8,12,11,3,32,Matches
e76cb9cc,Chancel Mbemba,cd COD,DF,fr Marseille,28-274,1994,4.5,226,278,81.3,4143,1125,92,102,90.2,103,122,84.4,24,38,63.2,1,0.3,0.3,+0.7,2,16,3,1,18,Matches
64b08de7,James McCarthy,ie IRL,MF,sct Celtic,32-178,1990,0.1,8,10,80.0,118,26,5,5,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,2,2,0,2,Matches
f3a97d02,Allan McGregor,sct SCO,GK,sct Rangers,41-098,1982,5.0,121,196,61.7,3431,2479,18,20,90.0,63,63,100.0,40,111,36.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
6800f515,Callum McGregor,sct SCO,MF,sct Celtic,29-329,1993,2.4,139,157,88.5,2182,640,71,78,91.0,62,63,98.4,6,12,50.0,0,0.2,0.4,-0.2,3,21,2,0,23,Matches
01c3aff5,Weston McKennie,us USA,MF,it Juventus,24-254,1998,4.0,115,152,75.7,1714,406,64,80,80.0,44,56,78.6,4,5,80.0,0,0.0,0.1,0.0,0,8,1,0,13,Matches
3b0108d6,Jon McLaughlin,sct SCO,GK,sct Rangers,35-242,1987,1.0,21,31,67.7,522,366,3,3,100.0,12,12,100.0,6,15,40.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
0a6dbbf7,Brandon Mechele,be BEL,DF,be Club Brugge,30-101,1993,8.0,402,462,87.0,8841,2628,82,97,84.5,252,265,95.1,62,92,67.4,0,0.0,0.0,0.0,0,14,0,0,13,Matches
95f5aae8,Bjorn Meijer,nl NED,DF,be Club Brugge,20-052,2003,6.4,226,308,73.4,3679,1432,110,133,82.7,92,113,81.4,17,43,39.5,1,0.5,0.4,+0.5,6,22,5,4,19,Matches
38f8ce7f,Raz Meir,il ISR,"DF,MF",il Maccabi Haifa,26-160,1996,0.9,31,38,81.6,364,127,23,25,92.0,7,9,77.8,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
48b3dd60,Arthur Melo,br BRA,MF,eng Liverpool,26-270,1996,0.2,11,13,84.6,200,27,4,5,80.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
8f696594,Memphis,nl NED,FW,es Barcelona,29-085,1994,0.2,14,16,87.5,221,58,8,8,100.0,4,5,80.0,2,3,66.7,0,0.0,0.0,0.0,0,4,1,0,3,Matches
a30e23de,Sun Menachem,il ISR,DF,il Maccabi Haifa,29-244,1993,0.7,21,30,70.0,367,181,7,9,77.8,11,14,78.6,2,4,50.0,0,0.0,0.0,0.0,0,1,1,0,4,Matches
f20e4cc9,Nuno Mendes,pt POR,"DF,MF",fr Paris S-G,20-324,2002,4.9,162,220,73.6,2328,789,103,120,85.8,38,54,70.4,11,20,55.0,0,0.5,0.7,-0.5,5,8,4,2,7,Matches
33887998,Edouard Mendy,sn SEN,GK,eng Chelsea,31-069,1992,1.0,23,25,92.0,544,240,5,5,100.0,12,12,100.0,6,8,75.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3cefcaef,Ferland Mendy,fr FRA,DF,es Real Madrid,27-335,1995,3.9,289,304,95.1,4064,988,160,167,95.8,95,99,96.0,13,13,100.0,0,0.3,0.3,-0.3,3,27,2,1,22,Matches
9413b19f,Alex Meret,it ITA,GK,it Napoli,26-048,1997,10.0,279,316,88.3,5884,3429,78,78,100.0,151,153,98.7,49,83,59.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
d70ce98e,Lionel Messi,ar ARG,"FW,MF",fr Paris S-G,35-319,1987,6.8,352,413,85.2,4722,1586,224,241,92.9,92,110,83.6,14,27,51.9,4,2.2,1.9,+1.8,19,40,21,0,53,Matches
f49c4ae9,Junior Messias,br BRA,"FW,DF",it Milan,31-361,1991,1.9,42,55,76.4,710,191,16,18,88.9,21,27,77.8,3,8,37.5,0,0.0,0.2,0.0,1,1,0,0,3,Matches
e162b013,Thomas Meunier,be BEL,DF,de Dortmund,31-239,1991,3.9,202,259,78.0,3117,1036,109,127,85.8,84,100,84.0,7,17,41.2,1,0.8,0.9,+0.2,6,11,4,2,11,Matches
b56dd813,Alexander Meyer,de GER,GK,de Dortmund,32-026,1991,4.5,165,198,83.3,4311,2722,32,32,100.0,81,81,100.0,52,84,61.9,0,0.0,0.0,0.0,0,2,0,0,0,Matches
d436eb94,Simon Mignolet,be BEL,GK,be Club Brugge,35-064,1988,8.0,237,324,73.1,7600,5992,33,34,97.1,93,94,98.9,110,194,56.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
85613cf0,Arkadiusz Milik,pl POL,FW,it Juventus,29-070,1994,3.8,64,87,73.6,984,163,29,36,80.6,25,32,78.1,4,9,44.4,0,0.5,0.2,-0.5,6,5,2,0,6,Matches
2784f898,Éder Militão,br BRA,DF,es Real Madrid,25-111,1998,7.3,379,434,87.3,6901,2579,161,172,93.6,174,189,92.1,40,60,66.7,0,0.0,0.1,0.0,0,24,0,0,13,Matches
2f90f6b8,James Milner,eng ENG,MF,eng Liverpool,37-125,1986,2.7,124,153,81.0,2117,573,58,64,90.6,54,62,87.1,10,16,62.5,0,0.0,0.2,0.0,1,9,7,1,22,Matches
e0f8151c,Kim Min-jae,kr KOR,DF,it Napoli,26-175,1996,8.7,538,612,87.9,9633,3721,202,220,91.8,291,323,90.1,31,49,63.3,0,0.0,0.2,0.0,1,29,1,0,36,Matches
bbf5c11b,Rafa Mir,es ESP,"MF,FW",es Sevilla,25-325,1997,1.7,21,34,61.8,291,34,16,22,72.7,4,8,50.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
34693494,Fabio Miretti,it ITA,"MF,FW",it Juventus,19-279,2003,2.4,67,96,69.8,1065,283,35,43,81.4,25,29,86.2,4,14,28.6,0,0.0,0.1,0.0,0,9,5,0,15,Matches
46152b69,Josip Mišić,hr CRO,MF,hr Dinamo Zagreb,28-315,1994,5.8,255,285,89.5,5260,1473,88,93,94.6,117,129,90.7,45,54,83.3,0,0.0,0.2,0.0,1,28,4,0,29,Matches
dd0daf32,Henrikh Mkhitaryan,am ARM,MF,it Inter,34-108,1989,8.8,265,334,79.3,4353,1218,132,151,87.4,112,131,85.5,14,24,58.3,0,0.3,0.4,-0.3,4,24,6,1,35,Matches
34e4343c,Anthony Modeste,fr FRA,FW,de Dortmund,35-025,1988,3.8,27,44,61.4,345,78,14,20,70.0,8,15,53.3,1,2,50.0,0,0.0,0.1,0.0,1,2,2,1,4,Matches
6025fab1,Luka Modrić,hr CRO,MF,es Real Madrid,37-242,1985,6.6,449,507,88.6,6567,1923,250,267,93.6,145,159,91.2,28,49,57.1,1,1.0,1.7,0.0,7,49,10,3,45,Matches
cfdacb90,Ali Mohamed,ne NIG,MF,il Maccabi Haifa,27-214,1995,4.0,190,224,84.8,3025,788,100,115,87.0,75,83,90.4,11,13,84.6,0,0.0,0.1,0.0,1,20,2,0,33,Matches
b62878a5,Kudus Mohammed,gh GHA,FW,nl Ajax,22-280,2000,5.0,102,123,82.9,1716,215,48,57,84.2,41,48,85.4,9,10,90.0,3,0.3,0.2,+2.7,5,9,1,0,9,Matches
25b74470,Sadegh Moharrami,ir IRN,"FW,DF",hr Dinamo Zagreb,27-069,1996,4.5,148,183,80.9,2363,894,76,83,91.6,56,69,81.2,11,21,52.4,0,0.4,0.5,-0.4,7,11,5,5,17,Matches
23610943,Nahuel Molina,ar ARG,"DF,MF",es Atlético Madrid,25-033,1998,5.2,266,364,73.1,3952,1555,156,181,86.2,89,127,70.1,12,35,34.3,0,0.8,0.6,-0.8,7,17,7,5,23,Matches
374d5158,Gonzalo Montiel,ar ARG,DF,es Sevilla,26-128,1997,2.5,114,142,80.3,1820,721,55,59,93.2,53,67,79.1,4,9,44.4,0,0.2,0.2,-0.2,4,7,2,2,12,Matches
47b7e3af,Aaron Mooy,au AUS,MF,sct Celtic,32-236,1990,1.7,111,139,79.9,1630,457,72,78,92.3,28,39,71.8,7,13,53.8,0,0.1,0.6,-0.1,2,13,3,1,12,Matches
129af0db,Álvaro Morata,es ESP,FW,es Atlético Madrid,30-198,1992,3.3,39,59,66.1,749,114,18,26,69.2,12,18,66.7,8,9,88.9,0,0.1,0.1,-0.1,3,3,4,2,5,Matches
0f41e2ee,Morato,br BRA,DF,pt Benfica,21-313,2001,1.2,99,108,91.7,2033,641,34,36,94.4,42,44,95.5,22,24,91.7,0,0.0,0.0,0.0,1,9,0,0,8,Matches
ef88f778,Alfredo Morelos,co COL,FW,sct Rangers,26-322,1996,2.8,41,63,65.1,620,120,19,27,70.4,15,19,78.9,3,5,60.0,0,0.1,0.0,-0.1,1,1,0,0,3,Matches
a650c75b,Hidemasa Morita,jp JPN,MF,pt Sporting CP,27-364,1995,3.7,116,149,77.9,2116,636,52,63,82.5,50,58,86.2,14,18,77.8,1,0.2,0.1,+0.8,1,9,1,0,15,Matches
736157b7,Jhon Mosquera,co COL,"FW,MF",cz Viktoria Plzeň,33-001,1990,4.8,81,132,61.4,1213,529,45,60,75.0,32,45,71.1,3,10,30.0,1,0.4,0.4,+0.6,3,9,4,3,7,Matches
6ce43701,Youssoufa Moukoko,de GER,"FW,MF",de Dortmund,18-170,2004,2.7,35,43,81.4,511,184,19,23,82.6,15,15,100.0,1,2,50.0,2,0.4,0.2,+1.6,4,3,0,0,8,Matches
9674002f,Mason Mount,eng ENG,MF,eng Chelsea,24-119,1999,4.9,217,272,79.8,3347,1060,130,145,89.7,56,71,78.9,23,33,69.7,2,0.8,1.0,+1.2,12,26,13,3,40,Matches
2b622f01,Lucas Moura,br BRA,"FW,MF",eng Tottenham,30-269,1992,1.9,37,61,60.7,486,125,26,33,78.8,8,16,50.0,2,5,40.0,0,0.3,0.3,-0.3,3,4,1,1,4,Matches
049a888d,Mykhailo Mudryk,ua UKR,"FW,DF",eng Chelsea,22-124,2001,1.0,14,24,58.3,166,55,11,14,78.6,2,6,33.3,1,1,100.0,0,0.1,0.1,-0.1,2,2,1,0,1,Matches
049a888d,Mykhailo Mudryk,ua UKR,MF,ua Shakhtar,22-124,2001,5.7,111,154,72.1,1505,407,78,88,88.6,24,37,64.9,5,18,27.8,2,0.7,1.1,+1.3,5,4,4,1,14,Matches
dbfbdf06,Paul Mukairu,ng NGA,FW,dk FC Copenhagen,23-111,2000,0.5,4,6,66.7,48,2,3,5,60.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
ac73ec79,Nordi Mukiele,fr FRA,"DF,MF",fr Paris S-G,25-189,1997,1.2,36,48,75.0,483,158,22,30,73.3,13,14,92.9,0,0,,0,0.0,0.1,0.0,1,0,0,0,1,Matches
3c6089ab,Thomas Müller,de GER,"MF,FW",de Bayern Munich,33-238,1989,4.1,131,164,79.9,1920,509,76,88,86.4,44,59,74.6,5,7,71.4,1,0.3,0.3,+0.7,5,8,5,0,23,Matches
4567a0b4,Petar Musa,hr CRO,FW,pt Benfica,25-066,1998,1.4,30,45,66.7,376,56,13,19,68.4,12,17,70.6,0,1,0.0,0,0.1,0.2,-0.1,1,3,2,0,5,Matches
2c0558b8,Jamal Musiala,de GER,"MF,FW",de Bayern Munich,20-072,2003,5.9,191,219,87.2,2809,824,110,118,93.2,66,73,90.4,11,16,68.8,2,1.9,1.9,+0.1,14,20,10,0,44,Matches
3e9bd29d,Bohdan Mykhaylychenko,ua UKR,DF,ua Shakhtar,26-049,1997,4.0,166,204,81.4,2541,709,104,113,92.0,52,67,77.6,8,16,50.0,2,0.3,0.2,+1.7,2,5,2,2,10,Matches
441197b8,Obite N'Dicka,fr FRA,DF,de Eint Frankfurt,23-262,1999,8.0,346,412,84.0,5415,2128,170,187,90.9,153,175,87.4,14,34,41.2,1,0.1,0.1,+0.9,1,19,0,0,15,Matches
2946f9a1,Nacho,es ESP,DF,es Real Madrid,33-111,1990,4.8,277,305,90.8,4045,1439,155,168,92.3,102,109,93.6,8,11,72.7,0,0.1,0.1,-0.1,5,16,2,0,14,Matches
3f10bd22,Jesús Navas,es ESP,"DF,MF",es Sevilla,37-169,1985,2.5,85,112,75.9,1357,375,43,48,89.6,38,48,79.2,4,11,36.4,0,0.1,0.2,-0.1,1,2,3,1,5,Matches
e7281ea9,Flávio Nazinho,pt POR,"DF,MF",pt Sporting CP,19-293,2003,1.3,14,22,63.6,212,56,8,12,66.7,6,9,66.7,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
5cdddffa,Tanguy Ndombele,fr FRA,MF,it Napoli,26-132,1996,4.1,231,266,86.8,3248,864,128,136,94.1,81,93,87.1,7,14,50.0,1,1.4,0.8,-0.4,9,16,8,1,25,Matches
4f1e6a0b,David Neres,br BRA,"FW,MF",pt Benfica,26-067,1997,4.9,159,218,72.9,2308,600,89,105,84.8,51,67,76.1,11,19,57.9,1,1.2,1.6,-0.2,7,19,14,3,23,Matches
953597a1,Luís Neto,pt POR,DF,pt Sporting CP,34-348,1988,0.4,34,36,94.4,674,258,8,8,100.0,24,24,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
8778c910,Manuel Neuer,de GER,GK,de Bayern Munich,37-043,1986,3.0,98,121,81.0,2661,1808,11,11,100.0,53,55,96.4,34,54,63.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
c2a15a27,João Neves,pt POR,"FW,MF",pt Benfica,18-224,2004,0.3,37,42,88.1,555,101,19,22,86.4,12,13,92.3,3,4,75.0,1,0.1,0.0,+0.9,1,2,1,0,2,Matches
69384e5d,Neymar,br BRA,"MF,FW",fr Paris S-G,31-093,1992,6.0,320,392,81.6,4477,1506,181,206,87.9,94,111,84.7,20,35,57.1,2,1.6,1.4,+0.4,16,38,25,1,57,Matches
5853ac44,Tanguy Nianzou,fr FRA,DF,es Sevilla,20-336,2002,2.0,86,95,90.5,1570,587,32,33,97.0,45,49,91.8,8,12,66.7,0,0.4,0.0,-0.4,1,2,0,0,6,Matches
f6a90edd,Casper Nielsen,dk DEN,MF,be Club Brugge,29-010,1994,7.2,123,187,65.8,2234,648,56,77,72.7,47,62,75.8,16,33,48.5,1,0.6,0.7,+0.4,3,14,3,1,19,Matches
c14bc029,Saúl Ñíguez,es ESP,"MF,DF",es Atlético Madrid,28-169,1994,3.1,114,143,79.7,1609,418,67,78,85.9,41,49,83.7,4,8,50.0,0,0.1,0.3,-0.1,2,10,1,1,11,Matches
7c56da38,Christopher Nkunku,fr FRA,"MF,FW",de RB Leipzig,25-176,1997,6.2,211,233,90.6,2820,709,137,147,93.2,54,58,93.1,10,11,90.9,1,2.5,1.3,-1.5,10,15,10,1,23,Matches
5458f670,Hugo Novoa,es ESP,MF,de RB Leipzig,20-128,2003,0.0,3,4,75.0,57,2,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
4d77b365,Darwin Núñez,uy URU,FW,eng Liverpool,23-319,1999,4.4,62,98,63.3,797,115,33,45,73.3,16,28,57.1,3,9,33.3,1,0.1,0.1,+0.9,1,2,1,0,5,Matches
4ab12002,Antonio Nusa,no NOR,FW,be Club Brugge,18-022,2005,0.6,15,18,83.3,178,29,10,12,83.3,4,5,80.0,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,Matches
fb495bb8,Matt O'Riley,dk DEN,MF,sct Celtic,22-169,2000,5.3,224,274,81.8,3784,995,113,132,85.6,86,100,86.0,20,28,71.4,0,0.5,0.6,-0.5,2,18,9,2,30,Matches
ee8508c0,Jan Oblak,si SVN,GK,es Atlético Madrid,30-122,1993,5.0,79,113,69.9,2200,1716,16,16,100.0,41,42,97.6,22,54,40.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
a08b974a,Lucas Ocampos,ar ARG,FW,nl Ajax,28-302,1994,0.2,11,13,84.6,169,5,6,6,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
a04e47f0,Oleh Ocheretko,ua UKR,MF,ua Shakhtar,19-349,2003,0.2,4,6,66.7,89,14,1,1,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
f7750aa0,Denis Odoi,gh GHA,"DF,MF",be Club Brugge,34-347,1988,5.8,271,337,80.4,5182,1576,104,121,86.0,127,144,88.2,36,56,64.3,0,0.1,0.1,-0.1,1,30,0,0,29,Matches
ca607d59,Noah Okafor,ch SUI,FW,at RB Salzburg,22-350,2000,5.2,50,73,68.5,737,143,27,35,77.1,16,23,69.6,3,5,60.0,0,0.5,0.2,-0.5,6,4,3,0,7,Matches
41c12f75,Mathías Olivera,uy URU,DF,it Napoli,25-190,1997,5.7,329,395,83.3,4509,1534,199,218,91.3,107,123,87.0,7,20,35.0,2,0.7,0.6,+1.3,11,35,2,1,26,Matches
ae44e8e2,Dani Olmo,es ESP,"FW,MF",de RB Leipzig,25-002,1998,0.7,18,32,56.3,386,122,7,12,58.3,5,12,41.7,5,6,83.3,0,0.1,0.1,-0.1,2,2,2,1,3,Matches
e9c0c1b2,André Onana,cm CMR,GK,it Inter,27-037,1996,10.0,312,398,78.4,9031,6505,59,59,100.0,146,148,98.6,105,189,55.6,0,0.0,0.0,0.0,0,11,0,0,0,Matches
